gpu_Idx,pwr_W,gtemp_C,mtemp_C,sm_%,mem_%,enc_%,dec_%,jpg_%,ofa_%,mclk_MHz,pclk_MHz,pviol_%,tviol_bool,fb_MB,bar1_MB,ccpm_MB,rxpci_MB/s,txpci_MB/s
0,151,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,505,0
1,153,31,36,16,3,0,0,0,0,2619,1980,0,0,21369,4,0,26,26
0,152,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,376,25
1,155,31,36,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,108,0
0,153,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,446,14
1,154,31,36,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,155,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,545,0
1,153,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,18
0,155,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,338,11
1,155,31,35,21,3,0,0,0,0,2619,1980,0,0,21369,4,0,125,25
0,154,29,34,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,503,0
1,153,31,36,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,34,25
0,154,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,5,147
1,156,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,3,0
0,153,29,33,20,2,0,0,0,0,2619,1980,0,0,25879,4,0,69,156
1,154,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,154,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,295,22
1,154,31,37,17,3,0,0,0,0,2619,1980,0,0,21369,4,0,122,0
0,153,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,19,148
1,153,31,35,13,2,0,0,0,0,2619,1980,0,0,21369,4,0,3,0
0,153,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,170,109
1,152,31,35,17,2,0,0,0,0,2619,1980,0,0,21369,4,0,146,25
0,154,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,518,0
1,155,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,30,25
0,154,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,333,24
1,154,31,35,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,92,0
0,153,29,33,20,3,0,0,0,0,2619,1980,0,0,25879,4,0,236,24
1,153,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,144,25
0,154,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,268,24
1,153,31,37,21,3,0,0,0,0,2619,1980,0,0,21369,4,0,151,23
0,156,29,34,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,325,26
1,155,31,36,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,131,0
0,155,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,410,0
1,153,31,35,14,2,0,0,0,0,2619,1980,0,0,21369,4,0,95,25
0,152,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,557,0
1,154,31,35,16,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,17
0,155,29,33,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,544,0
1,155,31,36,16,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,24
0,157,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,300,26
1,155,31,36,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,120,0
0,153,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,310,25
1,154,31,36,21,3,0,0,0,0,2619,1980,0,0,21369,4,0,148,18
0,153,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,105,111
1,154,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,149,8
0,155,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,311,24
1,156,31,35,21,3,0,0,0,0,2619,1980,0,0,21369,4,0,146,11
0,156,29,34,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,528,0
