gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,fb,bar1,ccpm,rxpci,txpci
0,152,29,33,12,1,0,0,0,0,2619,1980,0,0,25883,4,0,436,26
1,151,31,35,26,4,0,0,0,0,2619,1980,0,0,21371,4,0,89,0
0,151,29,33,21,3,0,0,0,0,2619,1980,0,0,25883,4,0,17,121
1,150,31,36,13,2,0,0,0,0,2619,1980,0,0,21371,4,0,152,11
0,152,29,32,12,1,0,0,0,0,2619,1980,0,0,25883,4,0,161,115
1,151,31,35,26,4,0,0,0,0,2619,1980,0,0,21371,4,0,3,20
0,151,29,33,15,2,0,0,0,0,2619,1980,0,0,25883,4,0,320,7
1,150,31,36,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,114,26
0,154,29,33,13,2,0,0,0,0,2619,1980,0,0,25883,4,0,376,26
1,152,31,36,15,2,0,0,0,0,2619,1980,0,0,21371,4,0,78,0
0,153,29,33,24,3,0,0,0,0,2619,1980,0,0,25883,4,0,409,0
1,153,31,35,15,2,0,0,0,0,2619,1980,0,0,21371,4,0,51,25
0,156,29,33,15,2,0,0,0,0,2619,1980,0,0,25883,4,0,345,14
1,153,31,35,15,2,0,0,0,0,2619,1980,0,0,21371,4,0,152,24
0,155,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,566,0
1,154,31,36,15,2,0,0,0,0,2619,1980,0,0,21371,4,0,1,0
0,155,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,17,146
1,157,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,1,0
0,152,29,33,24,3,0,0,0,0,2619,1980,0,0,25883,4,0,475,0
1,154,31,35,26,4,0,0,0,0,2619,1980,0,0,21371,4,0,13,25
0,154,29,33,23,3,0,0,0,0,2619,1980,0,0,25883,4,0,522,0
1,152,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,21
0,153,29,33,13,2,0,0,0,0,2619,1980,0,0,25883,4,0,565,0
1,155,31,36,23,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,155,29,34,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,434,0
1,155,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,72,25
0,153,29,33,23,3,0,0,0,0,2619,1980,0,0,25883,4,0,296,25
1,156,31,35,21,3,0,0,0,0,2619,1980,0,0,21371,4,0,149,2
0,154,29,33,15,2,0,0,0,0,2619,1980,0,0,25883,4,0,289,20
1,154,31,35,17,3,0,0,0,0,2619,1980,0,0,21371,4,0,153,25
0,160,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,472,0
1,158,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,10
0,157,29,33,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,415,10
1,159,31,35,21,3,0,0,0,0,2619,1980,0,0,21371,4,0,151,25
0,158,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,430,11
1,158,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,149,24
0,158,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,311,24
1,159,31,35,18,2,0,0,0,0,2619,1980,0,0,21371,4,0,147,12
0,158,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,473,0
1,157,31,35,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,142,24
0,158,30,34,17,2,0,0,0,0,2619,1980,0,0,25883,4,0,290,25
1,158,31,36,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,119,0
0,160,29,34,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,447,3
1,159,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,151,24
0,161,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,100,116
1,157,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,50,0
0,157,29,33,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,145,110
1,159,31,37,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,91,0
0,159,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,167,115
1,160,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,124,0
0,162,29,34,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,471,0
1,159,31,37,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,96,25
0,159,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,338,24
1,160,31,35,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,108,0
0,159,29,33,17,2,0,0,0,0,2619,1980,0,0,25883,4,0,70,127
1,159,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,0
0,160,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,22,142
1,160,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,49,23
0,161,29,33,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,75,138
1,160,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,77,25
0,158,29,33,17,2,0,0,0,0,2619,1980,0,0,25883,4,0,19,138
1,159,31,35,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,29,22
0,162,29,33,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,328,25
1,161,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,61,0
0,159,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,378,15
1,161,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,5
0,160,30,34,16,2,0,0,0,0,2619,1980,0,0,25883,4,0,173,110
1,159,31,37,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,94,0
0,158,29,34,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,135,130
1,159,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,144,24
0,158,29,33,17,2,0,0,0,0,2619,1980,0,0,25883,4,0,18,145
1,162,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,23
0,163,29,33,19,3,0,0,0,0,2619,1980,0,0,25883,4,0,124,119
1,161,31,36,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,0
0,163,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,118,113
1,161,31,37,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,64,0
0,160,30,34,17,2,0,0,0,0,2619,1980,0,0,25883,4,0,456,0
1,161,31,37,18,3,0,0,0,0,2619,1980,0,0,21371,4,0,103,25
0,160,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,474,0
1,161,31,37,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,46,24
0,161,29,33,19,3,0,0,0,0,2619,1980,0,0,25883,4,0,349,18
1,162,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,161,29,33,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,467,0
1,163,31,36,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,145,24
0,161,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,469,0
1,160,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,97,24
0,162,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,378,18
1,162,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,147,18
0,161,30,34,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,36,140
1,162,31,37,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,139,24
0,158,30,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,169,118
1,161,31,37,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,150,11
0,160,30,34,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,153,112
1,162,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,95,0
0,163,29,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,30,143
1,165,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,135,24
0,162,29,34,19,3,0,0,0,0,2619,1980,0,0,25883,4,0,105,134
1,161,31,36,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,143,24
0,163,30,34,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,321,25
1,161,32,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,34,0
0,162,30,33,19,2,0,0,0,0,2619,1980,0,0,25883,4,0,20,146
1,161,32,36,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,6
0,162,30,34,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,412,20
1,160,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,146,13
0,163,30,34,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,165,106
1,161,31,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,45,0
0,162,30,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,20,144
1,163,31,35,21,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,8
0,160,30,33,19,3,0,0,0,0,2619,1980,0,0,25883,4,0,19,145
1,161,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,24
0,161,30,34,20,3,0,0,0,0,2619,1980,0,0,25883,4,0,171,107
1,161,32,37,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,148,3
0,162,30,34,19,3,0,0,0,0,2619,1980,0,0,25883,4,0,325,17
1,165,32,37,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,162,30,33,19,3,0,0,0,0,2619,1980,0,0,25883,4,0,338,24
1,162,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,88,0
0,116,29,33,1,0,0,0,0,0,2619,1980,0,0,79575,4,0,87,0
